id,total_area,total_buildings,total_area_adm2,total_buildings_adm2
12003,3136.1463000000012,68,3913823.806299989,56650
7365,3735.6918,192,4780709.333399998,78805
4015,22073.88759999999,699,4709504.632400045,92056
237,13967.750300000002,486,1939233.2433999968,69280
5123,1302.3884999999996,68,3477389.9073999855,53308
3042,2135.4897000000005,81,9890180.899499815,179876
5701,64216.935199999956,1109,11968283.436900381,179184
2901,485.0607,17,5404839.839799935,120468
14101,5502.968700000002,163,5228787.03699996,102951
14102,5502.968700000002,163,2393371.7551000016,41959
10058,9067.5257,202,6063750.6400000695,130010
10532,3558.953,109,4633411.748299901,88044
5608,3122.3966000000005,114,3477389.9073999855,53308
5609,3122.3966000000005,114,4133096.9898999697,66392
6366,9962.61609999999,450,5404839.839799935,120468
15008,28766.431199999995,546,3477111.754199985,85601
7142,20495.971999999987,537,4496622.037400065,77870
7143,20495.971999999987,537,7614076.459100063,127972
10891,6107.198200000001,143,5580689.679099988,66088
9124,31448.68609999999,559,5258094.3257999765,83965
9125,31448.68609999999,559,1500113.5719000017,29368
12095,60517.86960000012,1095,4285445.744199992,88997
3800,11491.929899999992,443,5404839.839799935,120468
716,26223.374900000006,926,2029721.9122000062,60235
717,26223.374900000006,926,927804.3632000035,29753
9341,1729.9152,63,5580689.679099988,66088
5678,53084.29969999995,1010,4496622.037400065,77870
985,59102.71620000007,1010,3877497.768100021,79572
2437,5389.604000000004,156,3477389.9073999855,53308
12972,4273.046600000001,157,6063750.6400000695,130010
5383,1728.4544000000003,84,4709504.632400045,92056
5384,1728.4544000000003,84,4657818.107100053,85818
2090,37683.843200000025,774,5496198.666799969,82377
6058,4594.5636,227,6063750.6400000695,130010
9232,28452.89989999999,458,4633411.748299901,88044
771,8923.728699999994,325,2029721.9122000062,60235
8770,701.9253,32,3234132.847500009,52632
3685,556.0894000000001,25,2899320.5089000068,71008
8339,59059.9059,1237,7614076.459100063,127972
8340,59059.9059,1237,47215055.56479972,619190
280,19930.575099999973,797,1939233.2433999968,69280
9321,643.1380999999999,25,2973187.7172000166,44655
1077,21847.461900000002,605,3877497.768100021,79572
4152,579.4219,27,1769334.0413999925,38144
11564,6835.960600000003,292,6063750.6400000695,130010
5558,6553.703899999998,336,6063750.6400000695,130010
10143,32588.569500000005,524,3901531.550699996,63528
10144,32588.569500000005,524,6112192.636499925,85381
10570,21042.121199999998,309,6063750.6400000695,130010
2386,22043.08699999998,473,9890180.899499815,179876
3262,47732.99369999994,1063,9890180.899499815,179876
14880,1858.8352,69,5228787.03699996,102951
14567,14263.449000000002,229,5228787.03699996,102951
10290,58461.75509999999,826,13275166.61959999,165410
4227,1092.1717999999998,35,3477389.9073999855,53308
2029,2243.0021,120,3477389.9073999855,53308
13845,11224.206099999996,333,3477111.754199985,85601
7827,796.8785,25,2989647.977599972,43949
8272,58640.79839999993,961,4133096.9898999697,66392
8273,58640.79839999993,961,2973187.7172000166,44655
3486,6519.9118,216,9890180.899499815,179876
12795,6508.2258,223,4285445.744199992,88997
13222,6427.892599999998,99,5228787.03699996,102951
4397,9998.430400000005,277,9890180.899499815,179876
1004,42011.087199999994,880,2334409.3442000058,50307
1005,42011.087199999994,880,2087560.6372999835,49791
4283,53551.03220000008,1139,5315387.529699943,88334
4284,53551.03220000008,1139,3490572.386799999,74863
9831,751.9998000000002,43,2973187.7172000166,44655
14863,954.8361999999998,42,3477111.754199985,85601
1294,9678.9491,243,2334409.3442000058,50307
11131,46701.8751,810,5580689.679099988,66088
6370,8010.9416999999985,322,5404839.839799935,120468
1072,5961.474799999999,236,3877497.768100021,79572
895,13474.718000000015,400,3877497.768100021,79572
896,13474.718000000015,400,927804.3632000035,29753
10034,11383.612000000003,274,13275166.61959999,165410
10035,11383.612000000003,274,4633411.748299901,88044
12790,19131.86210000001,424,4285445.744199992,88997
15136,17873.312199999986,336,3477111.754199985,85601
4854,51610.19030000005,1317,9890180.899499815,179876
5767,1711.8477999999998,94,2677898.4160999767,49925
3712,27372.467400000045,729,9890180.899499815,179876
9869,22142.0798,356,5580689.679099988,66088
7097,27543.312200000004,452,4657818.107100053,85818
2649,6226.976799999998,145,3477389.9073999855,53308
7335,22258.278999999995,559,4657818.107100053,85818
1962,14317.198700000006,310,2899320.5089000068,71008
1068,2427.425900000001,116,3877497.768100021,79572
1069,2427.425900000001,116,927804.3632000035,29753
9885,8017.977399999992,247,1568223.052299989,22862
9886,8017.977399999992,247,5692150.617499987,76981
1471,52484.21559999998,918,2899320.5089000068,71008
8058,7664.825100000001,165,3142890.832699973,44808
1082,12490.061800000007,268,3877497.768100021,79572
5943,42568.7495,730,5699121.754100002,98958
9238,2382.9192000000003,83,4633411.748299901,88044
3176,26904.219699999998,388,1983576.5136000086,32795
3177,26904.219699999998,388,2503710.2219999954,36841
1104,11299.651200000004,338,2334409.3442000058,50307
3820,6417.9313999999995,164,5315387.529699943,88334
3821,6417.9313999999995,164,4304857.690400043,67425
1400,5886.045899999998,206,4211450.142600003,85861
1401,5886.045899999998,206,2334409.3442000058,50307
90,15247.1089,466,1490683.1229000106,48635
3013,1034.5805000000003,74,2899320.5089000068,71008
9863,7564.234300000001,143,5580689.679099988,66088
9212,769.3003999999999,32,4285445.744199992,88997
9213,769.3003999999999,32,2677898.4160999767,49925
8486,3125.9344,123,6063750.6400000695,130010
13723,9561.252799999991,290,3477111.754199985,85601
6645,93207.13139999995,1846,6763924.412699959,110981
117,2518.2243000000003,104,1490683.1229000106,48635
118,2518.2243000000003,104,2448171.340900037,72998
5699,79310.26349999997,1479,4453984.292599953,68839
5700,79310.26349999997,1479,11968283.436900381,179184
5539,4377.579200000001,188,9890180.899499815,179876
5540,4377.579200000001,188,4633411.748299901,88044
8497,1463.3709999999996,62,3234132.847500009,52632
10900,17161.82079999998,618,3913823.806299989,56650
4298,14791.428599999996,483,3606248.4461999945,68985
9353,22541.66909999999,329,3142890.832699973,44808
5276,13809.153600000007,317,1769334.0413999925,38144
12278,1962.2255000000002,69,2393371.7551000016,41959
2474,15950.246099999995,412,5404839.839799935,120468
2827,25335.41920000001,508,4211450.142600003,85861
5746,1302.8503,63,2710634.640100001,67083
1892,15066.737200000001,325,5308807.644200065,81122
12928,4353.520200000002,206,4285445.744199992,88997
12929,4353.520200000002,206,5228787.03699996,102951
5647,25209.848600000016,506,5404839.839799935,120468
1374,5739.865100000002,164,2899320.5089000068,71008
1375,5739.865100000002,164,2087560.6372999835,49791
3717,2439.910700000001,101,9890180.899499815,179876
6884,18269.636500000004,427,6763924.412699959,110981
6885,18269.636500000004,427,4496622.037400065,77870
6886,18269.636500000004,427,7614076.459100063,127972
11633,25214.18200000002,462,3913823.806299989,56650
14803,15495.271200000008,493,5228787.03699996,102951
6404,48251.691099999975,951,6763924.412699959,110981
8725,103641.62669999992,1509,4633411.748299901,88044
7154,52429.54110000002,490,7614076.459100063,127972
7155,52429.54110000002,490,5699121.754100002,98958
10846,1302.9201000000003,57,3234132.847500009,52632
2058,7942.011099999997,282,4709504.632400045,92056
7750,561.1320000000001,36,3234132.847500009,52632
1557,7854.1564999999955,272,2899320.5089000068,71008
1558,7854.1564999999955,272,3877497.768100021,79572
8548,3917.9468,127,5580689.679099988,66088
8549,3917.9468,127,4657818.107100053,85818
8550,3917.9468,127,3142890.832699973,44808
14646,12287.192200000001,274,5228787.03699996,102951
7103,20175.067499999976,647,4657818.107100053,85818
349,7333.271400000001,287,1490683.1229000106,48635
350,7333.271400000001,287,2029721.9122000062,60235
7785,12510.761199999995,282,4133096.9898999697,66392
9322,372.65279999999996,21,2973187.7172000166,44655
2401,2972.0221,110,4211450.142600003,85861
8300,5803.499800000001,253,4657818.107100053,85818
9259,49447.56000000003,680,13275166.61959999,165410
9260,49447.56000000003,680,6063750.6400000695,130010
9574,1774.1502000000003,84,2973187.7172000166,44655
10881,30502.547000000017,471,5580689.679099988,66088
7447,230.0155,13,2677898.4160999767,49925
2812,43179.55029999999,778,9890180.899499815,179876
