id,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,distance10
13602,1230225.5564021633,1230225.5094226685,1230225.351367389,1230222.7689131987,1230222.8335199165,1230224.9656629688,1230225.7020483187,1230221.0071585851,1230225.6059835562,1230222.4130392335
13603,1227499.2850485952,1227499.2381881399,1227499.0799003541,1227496.498652219,1227496.5643098853,1227498.6950068227,1227499.4310265395,1227494.7373761255,1227499.335419294,1227496.1443465615
13604,1227499.2850485952,1227499.2381881399,1227499.0799003541,1227496.498652219,1227496.5643098853,1227498.6950068227,1227499.4310265395,1227494.7373761255,1227499.335419294,1227496.1443465615
13605,1224774.2934780319,1224774.2467371952,1224774.0882160335,1224771.508182019,1224771.5748952425,1224773.7041374021,1224774.4397890896,1224769.7473884155,1224774.3446414971,1224771.1554520193
13606,1224774.2934780319,1224774.2467371952,1224774.0882160335,1224771.508182019,1224771.5748952425,1224773.7041374021,1224774.4397890896,1224769.7473884155,1224774.3446414971,1224771.1554520193
13607,1222050.5902516525,1222050.5436310167,1222050.3848756056,1222047.806063845,1222047.873837262,1222050.001615913,1222050.7368971545,1222046.0457567396,1222050.6422113646,1222047.4549169007
13608,1219328.184003065,1219328.137503217,1219327.978512679,1219325.4009313746,1219325.4697696478,1219327.59607599,1219328.330984349,1219323.641114812,1219328.236762525,1219325.0513749295
13609,1216607.0834390258,1216607.0370605555,1216606.8778340092,1216604.3014914328,1216604.3713992534,1216606.4962244171,1216607.2307574365,1216602.5421694973,1216607.1370017556,1216603.953532979
13610,1213887.297340166,1213887.2510836679,1213887.091620228,1213884.5165247216,1213884.5875068076,1213886.7108418532,1213887.444997055,1213882.757701535,1213887.351709708,1213884.170171798
13611,1211168.8345617272,1211168.7884277995,1211168.6287265767,1211166.0548865532,1211166.1269476507,1211168.248783567,1211168.982558453,1211164.2965662766,1211168.8897416447,1211165.7101467473
13612,1208451.7040343038,1208451.6580235485,1208451.4980836492,1208448.9255075934,1208448.9986524764,1208451.1189801814,1208451.852372232,1208447.1676944273,1208451.7600281811,1208448.582388541
13613,1205735.914764594,1205735.8688776179,1205735.7086981442,1205733.1373946131,1205733.2116280834,1205735.3304384227,1205736.0634450966,1205731.380092798,1205735.9715760364,1205732.795903999
13614,1203021.47583616,1203021.4300735728,1203021.2696536232,1203018.6996312474,1203018.7749581353,1203020.8922418815,1203021.6248606166,1203016.9428450637,1203021.5334687938,1203018.3597768052
13615,1200308.3964101945,1200308.3507726104,1200308.1901112797,1200305.6213787626,1200305.6978039271,1200307.8135517791,1200308.5457799914,1200303.865112532,1200308.454867668,1200305.2831682756
