id,admin2Pcod,population,population_adm2
236,BJ0201,581.8248291015625,93779.27038025856
237,BJ0201,838.79913330078125,93779.27038025856
238,BJ0201,741.31683349609375,93779.27038025856
239,BJ0201,990.873046875,93779.27038025856
240,BJ0201,524.04571533203125,93779.27038025856
241,BJ0201,610.3380126953125,93779.27038025856
242,BJ0201,2.1834840774536133,93779.27038025856
243,BJ0205,0,148473.9669175148
244,BJ0205,0,148473.9669175148
245,BJ0205,0,148473.9669175148
246,BJ0205,0,148473.9669175148
247,BJ0205,130.74411010742188,148473.9669175148
248,BJ0205,554.84527587890625,148473.9669175148
249,BJ0205,1511.867431640625,148473.9669175148
250,BJ0205,662.5843505859375,148473.9669175148
251,BJ0205,937.28515625,148473.9669175148
252,BJ0205,2545.53955078125,148473.9669175148
253,BJ0205,1540.1259765625,148473.9669175148
254,BJ0205,1220.6373291015625,148473.9669175148
255,BJ0205,1285.4073486328125,148473.9669175148
256,BJ0205,413.5363464355469,148473.9669175148
257,BJ0205,1125.7542724609375,148473.9669175148
258,BJ0205,744.85833740234375,148473.9669175148
259,BJ0205,1619.710205078125,148473.9669175148
260,BJ0205,1702.949462890625,148473.9669175148
261,BJ0205,908.46820068359375,148473.9669175148
262,BJ0205,894.19512939453125,148473.9669175148
263,BJ0203,1285.0693359375,85597.32812160254
264,BJ0205,1285.0693359375,148473.9669175148
265,BJ0208,1285.0693359375,118221.17363291979
266,BJ0203,592.90765380859375,85597.32812160254
267,BJ0205,592.90765380859375,148473.9669175148
268,BJ0208,592.90765380859375,118221.17363291979
269,BJ0203,391.70001220703125,85597.32812160254
270,BJ0203,191.7906036376953,85597.32812160254
271,BJ0203,989.58428955078125,85597.32812160254
272,BJ0201,989.58428955078125,93779.27038025856
273,BJ0201,1479.00634765625,93779.27038025856
274,BJ0201,1731.696533203125,93779.27038025856
275,BJ0201,752.850830078125,93779.27038025856
276,BJ0201,691.409912109375,93779.27038025856
277,BJ0201,962.9228515625,93779.27038025856
278,BJ0201,726.8299560546875,93779.27038025856
279,BJ0201,1042.3282470703125,93779.27038025856
280,BJ0201,1129.8243408203125,93779.27038025856
281,BJ0201,494.349609375,93779.27038025856
282,BJ0208,0,118221.17363291979
283,BJ0208,0,118221.17363291979
284,BJ0205,0,148473.9669175148
285,BJ0205,0,148473.9669175148
286,BJ0205,0,148473.9669175148
287,BJ0205,127.25453186035156,148473.9669175148
288,BJ0205,298.14019775390625,148473.9669175148
289,BJ0205,236.90931701660156,148473.9669175148
290,BJ0205,233.190185546875,148473.9669175148
291,BJ0205,889.155517578125,148473.9669175148
292,BJ0205,1494.4498291015625,148473.9669175148
293,BJ0205,1926.4481201171875,148473.9669175148
294,BJ0205,435.8616943359375,148473.9669175148
295,BJ0205,1082.20458984375,148473.9669175148
296,BJ0205,1107.693603515625,148473.9669175148
297,BJ0205,5517.41552734375,148473.9669175148
298,BJ0205,5186.76123046875,148473.9669175148
299,BJ0205,744.02679443359375,148473.9669175148
300,BJ0205,796.89593505859375,148473.9669175148
301,BJ0205,1086.9949951171875,148473.9669175148
302,BJ0205,1021.5606689453125,148473.9669175148
303,BJ0208,1021.5606689453125,118221.17363291979
304,BJ0205,938.6339111328125,148473.9669175148
305,BJ0208,938.6339111328125,118221.17363291979
306,BJ0203,1293.6864013671875,85597.32812160254
307,BJ0208,1293.6864013671875,118221.17363291979
308,BJ0203,1449.0006103515625,85597.32812160254
309,BJ0208,1449.0006103515625,118221.17363291979
310,BJ0203,1179.306396484375,85597.32812160254
311,BJ0203,866.9776611328125,85597.32812160254
312,BJ0201,866.9776611328125,93779.27038025856
313,BJ0201,1371.023681640625,93779.27038025856
314,BJ0201,1256.2655029296875,93779.27038025856
315,BJ0201,1381.7086181640625,93779.27038025856
316,BJ0201,1150.05224609375,93779.27038025856
317,BJ0201,1113.2218017578125,93779.27038025856
318,BJ0201,907.08245849609375,93779.27038025856
319,BJ0201,960.720947265625,93779.27038025856
320,BJ0201,1209.5843505859375,93779.27038025856
321,BJ0201,1095.3670654296875,93779.27038025856
322,BJ0201,0,93779.27038025856
323,BJ0208,0,118221.17363291979
324,BJ0208,0,118221.17363291979
325,BJ0208,0,118221.17363291979
326,BJ0205,0,148473.9669175148
327,BJ0208,0,118221.17363291979
328,BJ0205,12.168139457702637,148473.9669175148
329,BJ0205,0,148473.9669175148
330,BJ0205,0,148473.9669175148
331,BJ0205,13.496455192565918,148473.9669175148
332,BJ0205,346.55084228515625,148473.9669175148
333,BJ0205,1535.496337890625,148473.9669175148
334,BJ0205,657.87261962890625,148473.9669175148
335,BJ0205,764.32928466796875,148473.9669175148
336,BJ0205,771.7113037109375,148473.9669175148
337,BJ0205,1569.1827392578125,148473.9669175148
338,BJ0205,800.3284912109375,148473.9669175148
339,BJ0205,1454.2401123046875,148473.9669175148
340,BJ0205,2698.340576171875,148473.9669175148
341,BJ0205,871.81317138671875,148473.9669175148
342,BJ0205,529.82293701171875,148473.9669175148
343,BJ0205,1103.2833251953125,148473.9669175148
344,BJ0205,304.3926696777344,148473.9669175148
345,BJ0205,993.6063232421875,148473.9669175148
346,BJ0208,993.6063232421875,118221.17363291979
347,BJ0208,946.75115966796875,118221.17363291979
348,BJ0208,1217.219482421875,118221.17363291979
349,BJ0203,882.67767333984375,85597.32812160254
350,BJ0208,882.67767333984375,118221.17363291979
351,BJ0203,899.3072509765625,85597.32812160254
352,BJ0208,899.3072509765625,118221.17363291979
353,BJ0203,956.8433837890625,85597.32812160254
354,BJ0208,956.8433837890625,118221.17363291979
355,BJ0201,956.8433837890625,93779.27038025856
356,BJ0201,1494.5133056640625,93779.27038025856
357,BJ0201,991.9644775390625,93779.27038025856
358,BJ0201,1502.46044921875,93779.27038025856
359,BJ0201,1348.016845703125,93779.27038025856
360,BJ0201,1157.88720703125,93779.27038025856
361,BJ0201,746.1627197265625,93779.27038025856
362,BJ0201,1049.0447998046875,93779.27038025856
363,BJ0201,1437.503662109375,93779.27038025856
364,BJ0201,3119.297607421875,93779.27038025856
365,BJ0201,1448.5294189453125,93779.27038025856
366,BJ0201,15.141680717468262,93779.27038025856
367,BJ0208,0,118221.17363291979
368,BJ0208,0,118221.17363291979
369,BJ0208,0,118221.17363291979
370,BJ0208,0,118221.17363291979
371,BJ0208,0,118221.17363291979
372,BJ0205,0,148473.9669175148
373,BJ0208,0,118221.17363291979
374,BJ0205,12.891572952270508,148473.9669175148
375,BJ0208,12.891572952270508,118221.17363291979
376,BJ0205,4.746732234954834,148473.9669175148
377,BJ0208,4.746732234954834,118221.17363291979
378,BJ0205,0,148473.9669175148
379,BJ0208,0,118221.17363291979
