id,so2,so2_adm2
10715,2.9777267892483478e-5,4.704222491789845e-6
10717,3.293957102274998e-5,4.704222491789845e-6
10718,3.188393516380613e-5,4.704222491789845e-6
10719,2.4091983289327623e-5,4.704222491789845e-6
10720,2.1290811222285026e-5,4.704222491789845e-6
10721,3.558197798156333e-6,4.704222491789845e-6
10722,-5.090086022199405e-6,4.704222491789845e-6
10723,1.0650248887976673e-5,4.704222491789845e-6
10724,1.6503619674896053e-5,4.704222491789845e-6
10726,1.3763002740925612e-5,4.704222491789845e-6
10728,3.135277073826347e-6,4.704222491789845e-6
10730,2.9939581746951482e-6,4.704222491789845e-6
10732,-8.32477631776257e-6,4.704222491789845e-6
10973,1.8782579962038718e-5,4.704222491789845e-6
10975,2.4301649429792244e-5,4.704222491789845e-6
10977,2.9497039399453873e-5,4.704222491789845e-6
10978,1.9700010092704888e-5,4.704222491789845e-6
10979,1.2316271318565612e-5,4.704222491789845e-6
10980,2.9050974588735292e-6,4.704222491789845e-6
10981,-5.238848705909902e-6,4.704222491789845e-6
10982,1.366799338130632e-5,4.704222491789845e-6
10983,1.1354689140152882e-5,4.704222491789845e-6
11223,1.860339677674759e-5,4.704222491789845e-6
11225,7.835739099314339e-6,4.704222491789845e-6
11226,4.484258717516677e-6,4.704222491789845e-6
11227,1.6778319109782195e-6,4.704222491789845e-6
11228,-1.7423765853149042e-5,4.704222491789845e-6
11229,-1.7960140047241057e-5,4.704222491789845e-6
11230,2.409079583354674e-6,4.704222491789845e-6
11231,-6.097425728485767e-6,4.704222491789845e-6
11468,1.5965824411086256e-5,4.704222491789845e-6
11470,1.3092330592289313e-5,4.704222491789845e-6
11472,6.772549666739937e-6,4.704222491789845e-6
11473,-7.18459715684912e-6,4.704222491789845e-6
11474,-2.3268504407221135e-5,4.704222491789845e-6
11475,-1.254393560571129e-5,4.704222491789845e-6
11476,-9.384007690414547e-6,4.704222491789845e-6
11477,-2.0311476347468742e-5,4.704222491789845e-6
11689,2.804189247173022e-5,4.704222491789845e-6
