hhid,grappe,menage,vague,hhweight,hhsize,lat,lon,insecure
16107,16,107,1,566.0165552191294,2,11.3302405457944,2.99297595396638,1
16118,16,118,1,566.0165552191294,7,11.3302405457944,2.99297595396638,0
16130,16,130,1,566.0165552191294,5,11.3302405457944,2.99297595396638,1
17007,17,7,2,276.14594505007545,6,11.0460967523977,3.06870829313993,1
17013,17,13,2,276.14594505007545,10,11.0460967523977,3.06870829313993,1
17019,17,19,2,276.14594505007545,2,11.0460967523977,3.06870829313993,1
17030,17,30,2,276.14594505007545,2,11.0460967523977,3.06870829313993,0
17036,17,36,2,276.14594505007545,11,11.0460967523977,3.06870829313993,1
17042,17,42,2,276.14594505007545,14,11.0460967523977,3.06870829313993,1
17053,17,53,2,276.14594505007545,12,11.0460967523977,3.06870829313993,1
17059,17,59,2,276.14594505007545,3,11.0460967523977,3.06870829313993,1
17064,17,64,2,276.14594505007545,6,11.0460967523977,3.06870829313993,1
17076,17,76,2,276.14594505007545,4,11.0460967523977,3.06870829313993,1
17081,17,81,2,276.14594505007545,10,11.0460967523977,3.06870829313993,1
17087,17,87,2,276.14594505007545,5,11.0460967523977,3.06870829313993,1
18002,18,2,1,351.752693448254,6,11.1020947387442,2.88795934058726,1
18010,18,10,1,351.752693448254,6,11.1020947387442,2.88795934058726,0
18017,18,17,1,351.752693448254,10,11.1020947387442,2.88795934058726,0
18024,18,24,1,351.752693448254,6,11.1020947387442,2.88795934058726,1
18032,18,32,1,351.752693448254,4,11.1020947387442,2.88795934058726,1
18039,18,39,1,351.752693448254,10,11.1020947387442,2.88795934058726,1
18046,18,46,1,351.752693448254,8,11.1020947387442,2.88795934058726,1
18054,18,54,1,351.752693448254,7,11.1020947387442,2.88795934058726,0
18061,18,61,1,351.752693448254,8,11.1020947387442,2.88795934058726,0
18069,18,69,1,351.752693448254,7,11.1020947387442,2.88795934058726,1
18076,18,76,1,351.752693448254,8,11.1020947387442,2.88795934058726,0
18083,18,83,1,351.752693448254,13,11.1020947387442,2.88795934058726,1
19018,19,18,1,305.5712713434556,5,11.135075,2.9359116,1
19037,19,37,1,305.5712713434556,4,11.135075,2.9359116,0
19056,19,56,1,305.5712713434556,5,11.135075,2.9359116,0
19075,19,75,1,305.5712713434556,7,11.135075,2.9359116,1
19094,19,94,1,305.5712713434556,9,11.135075,2.9359116,0
19113,19,113,1,305.5712713434556,5,11.135075,2.9359116,0
19132,19,132,1,305.5712713434556,4,11.135075,2.9359116,1
19151,19,151,1,305.5712713434556,6,11.135075,2.9359116,0
19170,19,170,1,305.5712713434556,5,11.135075,2.9359116,0
19189,19,189,1,305.5712713434556,2,11.135075,2.9359116,1
19208,19,208,1,305.5712713434556,8,11.135075,2.9359116,0
19227,19,227,1,305.5712713434556,1,11.135075,2.9359116,0
20020,20,20,2,764.5383149475338,7,11.1334988800809,2.93743478134274,0
20061,20,61,2,764.5383149475338,7,11.1334988800809,2.93743478134274,0
20082,20,82,2,764.5383149475338,4,11.1334988800809,2.93743478134274,0
20102,20,102,2,764.5383149475338,5,11.1334988800809,2.93743478134274,0
20144,20,144,2,764.5383149475338,6,11.1334988800809,2.93743478134274,1
20164,20,164,2,764.5383149475338,5,11.1334988800809,2.93743478134274,1
20185,20,185,2,764.5383149475338,10,11.1334988800809,2.93743478134274,1
20226,20,226,2,764.5383149475338,6,11.1334988800809,2.93743478134274,1
20247,20,247,2,764.5383149475338,1,11.1334988800809,2.93743478134274,0
20267,20,267,2,764.5383149475338,3,11.1334988800809,2.93743478134274,1
20309,20,309,2,764.5383149475338,8,11.1334988800809,2.93743478134274,1
20329,20,329,2,764.5383149475338,6,11.1334988800809,2.93743478134274,0
21004,21,4,1,250.3402232225405,7,11.1575164273381,2.98469823785126,1
21013,21,13,1,250.3402232225405,18,11.1575164273381,2.98469823785126,0
21023,21,23,1,250.3402232225405,9,11.1575164273381,2.98469823785126,1
21032,21,32,1,250.3402232225405,4,11.1575164273381,2.98469823785126,0
21041,21,41,1,250.3402232225405,9,11.1575164273381,2.98469823785126,0
21051,21,51,1,250.3402232225405,3,11.1575164273381,2.98469823785126,0
21060,21,60,1,250.3402232225405,5,11.1575164273381,2.98469823785126,1
21069,21,69,1,250.3402232225405,3,11.1575164273381,2.98469823785126,0
21079,21,79,1,250.3402232225405,5,11.1575164273381,2.98469823785126,1
21088,21,88,1,250.3402232225405,12,11.1575164273381,2.98469823785126,1
21097,21,97,1,250.3402232225405,12,11.1575164273381,2.98469823785126,0
21106,21,106,1,250.3402232225405,7,11.1575164273381,2.98469823785126,0
22003,22,3,2,412.31115429927434,9,11.1723810201511,3.06294623762369,0
22011,22,11,2,412.31115429927434,5,11.1723810201511,3.06294623762369,1
22027,22,27,2,412.31115429927434,3,11.1723810201511,3.06294623762369,0
22035,22,35,2,412.31115429927434,5,11.1723810201511,3.06294623762369,0
22043,22,43,2,412.31115429927434,3,11.1723810201511,3.06294623762369,1
